restaurant_name,restaurant_url,location,price_level,cuisine,michelin_distinction,raw_card_text,page_number
C as in Charlie,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/c-as-in-charlie," New York, NY, USA",$$,Fusion,bib,"Reserve a table | C as in Charlie | New York, NY, USA | $$ · Fusion",2
Inga's Bar,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/inga-s-bar," Brooklyn, NY, USA",$$$,American,Selected Restaurants,"Inga's Bar | Brooklyn, NY, USA | $$$ · American",2
Una Pizza Napoletana,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/una-pizza-napoletana," New York, NY, USA",$$,Pizza,bib,"Reserve a table | Una Pizza Napoletana | New York, NY, USA | $$ · Pizza",2
Kabawa,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kabawa," New York, NY, USA",$$$$,Caribbean,Selected Restaurants,"Reserve a table | Kabawa | New York, NY, USA | $$$$ · Caribbean",2
Crevette,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/crevette," New York, NY, USA",$$$,Seafood,Selected Restaurants,"Reserve a table | Crevette | New York, NY, USA | $$$ · Seafood",2
Sami & Susu,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sami-susu," New York, NY, USA",$$,Mediterranean Cuisine,bib,"Reserve a table | Sami & Susu | New York, NY, USA | $$ · Mediterranean Cuisine",2
MayRee,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/mayree," New York, NY, USA",$$,Thai,Selected Restaurants,"MayRee | New York, NY, USA | $$ · Thai",2
Atla,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atla," New York, NY, USA",$$$,Mexican,bib,"Atla | New York, NY, USA | $$$ · Mexican",2
Nami Nori,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nami-nori," New York, NY, USA",$,Japanese,bib,"Reserve a table | Nami Nori | New York, NY, USA | $ · Japanese",2
Yoshino,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/yoshino-1185037," New York, NY, USA",$$$$,Japanese,One Star,"Reserve a table | Yoshino | New York, NY, USA | $$$$ · Japanese",2
Minetta Tavern,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/minetta-tavern," New York, NY, USA",$$$,Steakhouse,Selected Restaurants,"Reserve a table | Minetta Tavern | New York, NY, USA | $$$ · Steakhouse",2
Katz's,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/katz-s," New York, NY, USA",$,Deli,bib,"Katz's | New York, NY, USA | $ · Deli",2
Bungalow,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bungalow," New York, NY, USA",$$$,Indian,bib,"Bungalow | New York, NY, USA | $$$ · Indian",2
63 Clinton,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/63-clinton," New York, NY, USA",$$$$,Contemporary,One Star,"Reserve a table | 63 Clinton | New York, NY, USA | $$$$ · Contemporary",2
The Commerce Inn,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-commerce-inn," New York, NY, USA",$$$,American,Selected Restaurants,"The Commerce Inn | New York, NY, USA | $$$ · American",2
Sushi Nakazawa New York,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-nakazawa," New York, NY, USA",$$$$,Japanese,One Star,"Reserve a table | Sushi Nakazawa New York | New York, NY, USA | $$$$ · Japanese",2
Ivan Ramen,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ivan-ramen," New York, NY, USA",$$,Japanese,Selected Restaurants,"Reserve a table | Ivan Ramen | New York, NY, USA | $$ · Japanese",2
Le Gigot,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-gigot," New York, NY, USA",$$$,French,Selected Restaurants,"Reserve a table | Le Gigot | New York, NY, USA | $$$ · French",2
Little Myanmar,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/little-myanmar," New York, NY, USA",$$,Burmese,bib,"Little Myanmar | New York, NY, USA | $$ · Burmese",2
Family Meal at Blue Hill,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blue-hill," New York, NY, USA",$$$$,American,One Star,"Reserve a table | Family Meal at Blue Hill | New York, NY, USA | $$$$ · American",2
Jeju Noodle Bar,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jeju-noodle-bar," New York, NY, USA",$$$,Korean,One Star,"Reserve a table | Jeju Noodle Bar | New York, NY, USA | $$$ · Korean",2
I Sodi,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/i-sodi," New York, NY, USA",$$$,Italian,Selected Restaurants,"Reserve a table | I Sodi | New York, NY, USA | $$$ · Italian",2
Red Paper Clip,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/red-paper-clip," New York, NY, USA",$$$$,Contemporary,Selected Restaurants,"Reserve a table | Red Paper Clip | New York, NY, USA | $$$$ · Contemporary",2
Via Carota,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/via-carota," New York, NY, USA",$$,Italian,Selected Restaurants,"Via Carota | New York, NY, USA | $$ · Italian",2
Secchu Yokota,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/secchu-yokota," New York, NY, USA",$$$$,Japanese,Selected Restaurants,"Secchu Yokota | New York, NY, USA | $$$$ · Japanese",2
