restaurant_name,michelin_distinction,rating,review_count,price_level,type,michelin
Icca,One Star,4.5,136.0,,japanese_restaurant,1
Ito,Selected Restaurants,4.5,92.0,,restaurant,1
Atera,Two Stars,4.6,613.0,PRICE_LEVEL_VERY_EXPENSIVE,american_restaurant,1
Farra,Selected Restaurants,4.6,190.0,,restaurant,1
Huso,One Star,4.7,289.0,,fine_dining_restaurant,1
Manhatta,Selected Restaurants,4.7,3780.0,PRICE_LEVEL_VERY_EXPENSIVE,american_restaurant,1
Jungsik New York,Three Stars,4.6,975.0,PRICE_LEVEL_VERY_EXPENSIVE,korean_restaurant,1
Tamarind,Selected Restaurants,4.2,2966.0,PRICE_LEVEL_EXPENSIVE,indian_restaurant,1
One White Street,Selected Restaurants,4.4,387.0,,restaurant,1
Crown Shy,One Star,4.5,1813.0,PRICE_LEVEL_EXPENSIVE,american_restaurant,1
Maison Passerelle,Selected Restaurants,4.5,146.0,,restaurant,1
Eulalie,Selected Restaurants,4.9,109.0,,french_restaurant,1
Cha Kee,Selected Restaurants,3.9,1157.0,PRICE_LEVEL_INEXPENSIVE,cantonese_restaurant,1
Saga,Two Stars,4.4,502.0,PRICE_LEVEL_VERY_EXPENSIVE,fine_dining_restaurant,1
Lei,Selected Restaurants,4.7,121.0,,wine_bar,1
Bridges,One Star,4.5,198.0,,french_restaurant,1
Dim Sum Go Go,bib,4.1,1708.0,PRICE_LEVEL_MODERATE,dim_sum_restaurant,1
Carne Mare,Selected Restaurants,4.5,863.0,PRICE_LEVEL_EXPENSIVE,restaurant,1
Yamada,One Star,4.9,49.0,,japanese_restaurant,1
La Mercerie,Selected Restaurants,4.3,1735.0,PRICE_LEVEL_EXPENSIVE,restaurant,1
Le Coucou,One Star,4.5,2079.0,PRICE_LEVEL_VERY_EXPENSIVE,restaurant,1
Muku,One Star,4.8,22.0,,japanese_restaurant,1
L’abeille à Côté,Selected Restaurants,4.4,38.0,,restaurant,1
L’Abeille,One Star,4.5,303.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,1
Nyonya,bib,4.3,2153.0,PRICE_LEVEL_MODERATE,malaysian_restaurant,1
Corima,One Star,4.4,277.0,,fine_dining_restaurant,1
Shabushabu Mayumon,Selected Restaurants,4.7,155.0,,japanese_restaurant,1
Thai Diner,bib,4.4,2772.0,PRICE_LEVEL_MODERATE,thai_restaurant,1
Cervo’s,bib,4.5,593.0,PRICE_LEVEL_EXPENSIVE,seafood_restaurant,1
Wayan,Selected Restaurants,4.3,1376.0,PRICE_LEVEL_EXPENSIVE,indonesian_restaurant,1
Potluck Club,bib,4.6,827.0,PRICE_LEVEL_MODERATE,chinese_restaurant,1
Altro Paradiso,Selected Restaurants,4.4,896.0,PRICE_LEVEL_EXPENSIVE,restaurant,1
Ma•dé,Selected Restaurants,4.3,193.0,,indonesian_restaurant,1
Comal,Selected Restaurants,4.4,186.0,,mexican_restaurant,1
Tolo,bib,4.2,192.0,,chinese_restaurant,1
Dirt Candy,One Star,4.5,1524.0,PRICE_LEVEL_MODERATE,vegetarian_restaurant,1
The River Café,Selected Restaurants,4.4,2498.0,PRICE_LEVEL_VERY_EXPENSIVE,american_restaurant,1
Raoul's,Selected Restaurants,4.4,1349.0,PRICE_LEVEL_EXPENSIVE,french_restaurant,1
Pinch Chinese,bib,4.3,945.0,PRICE_LEVEL_MODERATE,chinese_restaurant,1
César,Two Stars,4.2,218.0,,fine_dining_restaurant,1
Sushi Ikumi,Selected Restaurants,4.6,103.0,,sushi_restaurant,1
Torrisi,One Star,4.6,890.0,,italian_restaurant,1
Forsythia,Selected Restaurants,4.4,419.0,,italian_restaurant,1
Russ & Daughters Cafe,bib,4.6,4598.0,PRICE_LEVEL_MODERATE,bagel_shop,1
The Musket Room,Selected Restaurants,4.5,912.0,PRICE_LEVEL_VERY_EXPENSIVE,american_restaurant,1
King,Selected Restaurants,4.3,560.0,PRICE_LEVEL_EXPENSIVE,italian_restaurant,1
Estela,One Star,4.4,1527.0,PRICE_LEVEL_EXPENSIVE,restaurant,1
New,Selected Restaurants,4.0,100.0,,asian_restaurant,1
New,Selected Restaurants,4.8,17.0,,seafood_restaurant,1
New,Selected Restaurants,5.0,26.0,,restaurant,1
New,Selected Restaurants,4.1,13.0,,corporate_office,1
