place_id,google_name,google_address,google_rating,google_user_rating_count,google_price_level,google_primary_type,google_lat,google_lng,google_website,norm_name,distance_km,match_score,matched_to_michelin,matched_to_cuisine,matched_to_price
ChIJ2wjfy-VYwokRFCDXmpP1rH4,Bloom's Tavern,"208 E 58th St, New York, NY 10022, USA",4.4,994.0,PRICE_LEVEL_MODERATE,bar_and_grill,40.7605255,-73.9665898,http://www.bloomsnyc.com/,blooms tavern,0.0767085503563161,31.019497395724205,Chola,Indian,PRICE_LEVEL_MODERATE
ChIJg6OpQ0pdwokR68uFIZ_SPsE,El Santo,"1053 Flushing Ave, Brooklyn, NY 11237, USA",4.5,534.0,PRICE_LEVEL_MODERATE,mexican_restaurant,40.704347299999995,-73.93026909999999,http://www.elsantotaqueriabklyn.com/,el santo,0.23420544146806627,25.029534702383206,Sobre Masa,Mexican,PRICE_LEVEL_MODERATE
ChIJB6L7g-9YwokRTm44C_ToKdw,Amali NYC,"115 E 60th St, New York, NY 10022, USA",4.3,563.0,PRICE_LEVEL_EXPENSIVE,mediterranean_restaurant,40.763369399999995,-73.96856269999999,https://www.amalinyc.com/,amali nyc,0.043475814561626455,26.608290225260482,Le Veau d'Or,French,PRICE_LEVEL_EXPENSIVE
ChIJYeDVpepYwokR7q9MIzb8CY4,TBar,"116 E 60th St, New York, NY 10022, USA",4.4,392.0,PRICE_LEVEL_EXPENSIVE,american_restaurant,40.763048,-73.96870919999999,http://tbar.nyc/,tbar,0.058090898799674134,25.222909214403913,Le Veau d'Or,French,PRICE_LEVEL_EXPENSIVE
ChIJoxuT5Y5bwokR4BUNuEswrcI,Peaches HotHouse,"415 Tompkins Ave, Brooklyn, NY 11216, USA",4.4,1992.0,PRICE_LEVEL_MODERATE,american_restaurant,40.6833818,-73.9437578,https://www.bcrestaurantgroup.com/location/peaches-hot-house-bed-stuy/,peaches hothouse,0.22368061113996704,34.3158326663204,Daphne's,Italian-American,
ChIJD4Pkzo1bwokRT8tURQ6KU68,WARUDE,"385 Tompkins Ave, Brooklyn, NY 11216, USA",4.6,725.0,PRICE_LEVEL_MODERATE,asian_fusion_restaurant,40.684369499999995,-73.94395999999999,http://www.warude.com/,warude,0.28004991857244343,26.889400977130677,Daphne's,Italian-American,
ChIJYfgPUEFZwokRZ5mk9JqnxSc,Sea Salt NYC,"1123 1st Ave, New York, NY 10065, USA",4.7,1085.0,PRICE_LEVEL_MODERATE,mediterranean_restaurant,40.7612933,-73.9609656,http://www.seasaltsnyc.com/,sea salt nyc,0.08016678604055183,33.38799856751338,Lungi,Sri Lankan,PRICE_LEVEL_MODERATE
ChIJA3C4DuhYwokR2UT5yg9AZR0,Moti Mahal Delux,"1149 1st Ave, New York, NY 10065, USA",4.2,801.0,PRICE_LEVEL_MODERATE,indian_restaurant,40.7621148,-73.9603867,,moti mahal delux,0.05161384769108325,28.390633827707,Lungi,Sri Lankan,PRICE_LEVEL_MODERATE
ChIJzdIV2eNZwokRxSJvbX8IIZ0,Gulp,"42-45 27th St, Long Island City, NY 11101, USA",4.9,2839.0,PRICE_LEVEL_MODERATE,taiwanese_restaurant,40.7489798,-73.9406497,https://www.gulpjiabun.com/,gulp,0.14745165243265304,37.73058017080816,Vert Frais,Japanese,PRICE_LEVEL_MODERATE
ChIJzzk5JypZwokRQ0tuDC9Cwr8,Levante,"26-21 Jackson Ave, Long Island City, NY 11101, USA",4.3,954.0,PRICE_LEVEL_MODERATE,italian_restaurant,40.747557,-73.9416924,http://levantelic.com/,levante,0.15521465824328928,29.17742410108053,Vert Frais,Japanese,PRICE_LEVEL_MODERATE
