restaurant_name,restaurant_url,location,price_level,cuisine,michelin_distinction,raw_card_text,page_number,place_id,google_name,google_address,google_rating,google_user_rating_count,google_price_level,google_primary_type,google_lat,google_lng,google_website
Gabriel Kreuther,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gabriel-kreuther,"New York, NY, USA",$$$$,French,Two Stars,"Reserve a table | Gabriel Kreuther | New York, NY, USA | $$$$ · French",5,ChIJw_TGEwBZwokR-zLts543O-4,Gabriel Kreuther,"41 W 42nd St, New York, NY 10036, USA",4.6,1304.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,40.7545381,-73.98250260000002,https://www.gknyc.com/
Le Pavillon,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-pavillon-1192744,"New York, NY, USA",$$$$,French,One Star,"Reserve a table | Le Pavillon | New York, NY, USA | $$$$ · French",5,ChIJjcAJd-tZwokRJ0GkkJ2Urp0,Le Pavillon,"One Vanderbilt Ave, New York, NY 10017, USA",4.5,1012.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,40.7528047,-73.9784677,https://lepavillonnyc.com/
Fausto,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/fausto,"Brooklyn, NY, USA",$$$,Italian,Selected Restaurants,"Reserve a table | Fausto | Brooklyn, NY, USA | $$$ · Italian",5,ChIJh0UvcqhbwokRSLfJGK9kNDg,Fausto,"348 Flatbush Ave, Brooklyn, NY 11238, USA",4.5,638.0,PRICE_LEVEL_EXPENSIVE,italian_restaurant,40.675954399999995,-73.9718911,http://www.faustobrooklyn.com/
Sushi Yasuda,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-yasuda,"New York, NY, USA",$$$$,Japanese,Selected Restaurants,"Reserve a table | Sushi Yasuda | New York, NY, USA | $$$$ · Japanese",5,ChIJ0Zb6HANZwokRnGIntPyqjLQ,Sushi Yasuda,"204 E 43rd St, New York, NY 10017, USA",4.4,1557.0,PRICE_LEVEL_VERY_EXPENSIVE,sushi_restaurant,40.7511139,-73.97350829999999,https://sushiyasuda.com/
Jōji,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/joji,"New York, NY, USA",$$$$,Japanese,One Star,"Reserve a table | Jōji | New York, NY, USA | $$$$ · Japanese",5,ChIJBchQ93pZwokR5AtYEzo6p1o,Jōji,"1 Vanderbilt Ave, New York, NY 10017, USA",4.5,127.0,,sushi_restaurant,40.7530825,-73.9786543,https://www.jojiny.com/
Izakaya Futago,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/soba-totto,"New York, NY, USA",$$,Japanese,Selected Restaurants,"Reserve a table | Izakaya Futago | New York, NY, USA | $$ · Japanese",5,ChIJ14y5HwNZwokRrNpTpUqpB7Q,Izakaya Futago,"211 E 43rd St, New York, NY 10017, USA",4.4,971.0,PRICE_LEVEL_MODERATE,japanese_izakaya_restaurant,40.7512322,-73.9731998,https://www.izakaya-futago.com/
Bonnie's,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/bonnie-s,"Brooklyn, NY, USA",$$$,Cantonese,bib,"Reserve a table | Bonnie's | Brooklyn, NY, USA | $$$ · Cantonese",5,ChIJbQc9ABZZwokRMAK6C-Ekxg4,Bonnie's,"398 Manhattan Ave, Brooklyn, NY 11211, USA",4.3,577.0,PRICE_LEVEL_MODERATE,cantonese_restaurant,40.7178057,-73.9464373,https://www.bonniesbrooklyn.com/
The Lambs Club,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-lambs-club,"New York, NY, USA",$$$$,Steakhouse,Selected Restaurants,"Reserve a table | The Lambs Club | New York, NY, USA | $$$$ · Steakhouse",5,ChIJu0soFVVYwokRArPqt2VGdJs,The Lambs Club,"132 W 44th St, New York, NY 10036, USA",4.4,822.0,PRICE_LEVEL_EXPENSIVE,american_restaurant,40.756510999999996,-73.984641,http://www.thelambsclub.com/
Ammazzacaffè,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/ammazzacaffe,"Brooklyn, NY, USA",$$$,Italian,Selected Restaurants,"Reserve a table | Ammazzacaffè | Brooklyn, NY, USA | $$$ · Italian",5,ChIJA1h4NVZZwokRheUtPiYkt0g,Ammazzacaffè,"702 Grand St, Brooklyn, NY 11211, USA",4.4,598.0,PRICE_LEVEL_MODERATE,italian_restaurant,40.7113802,-73.9446198,http://www.ammazzacaffe.nyc/
Veerays,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/veerays,"New York, NY, USA",$$$$,Indian,Michelin Star,"Reserve a table | Veerays | New York, NY, USA | $$$$ · Indian | Reserve a table | Casa Ora | Brooklyn, NY, USA | $$$ · Venezuelan | Win Son | Brooklyn, NY, USA | $$$ · Chinese | Meju | Queens, NY, USA | $$$$ · Korean | Reserve a table | Fasano | New York, NY, USA | $$$$ · Italian | Reserve a table | Gui | New York, NY, USA | $$$$ · Steakhouse | Reserve a table | Kochi | New York, NY, USA | $$$$ · Korean | Reserve a table | Mari | New York, NY, USA | $$$$ · Korean | Reserve a table | Hart's | Brooklyn, NY, USA | $$ · Mediterranean Cuisine | Reserve a table | Casa Enrique | Queens, NY, USA | $$ · Mexican | Hupo | Queens, NY, USA | $$ · Chinese | Runner Up | Brooklyn, NY, USA | $$ · American | Reserve a table | Jupiter | New York, NY, USA | $$$ · Italian | Kung Fu Little Steamed Buns Ramen | New York, NY, USA | $ · Chinese | Reserve a table | Le Rock | New York, NY, USA | $$$$ · Contemporary | Reserve a table | See No Evil Pizza | New York, NY, USA | $$ · Pizza | Reserve a table | R40 | Queens, NY, USA | $$$ · Argentinian | Don Antonio | New York, NY, USA | $$ · Pizza | Reserve a table | Le Bernardin | New York, NY, USA | $$$$ · Seafood | The Grill | New York, NY, USA | $$$$ · American | Cafe Mado | Brooklyn, NY, USA | $ · American Contemporary | Reserve a table | Le Jardinier New York | New York, NY, USA | $$$$ · French | Reserve a table | Chalong | New York, NY, USA | $$$ · Thai | LORE | Brooklyn, NY, USA | $$ · Contemporary | Lobster Club | New York, NY, USA | $$$ · Japanese | Reserve a table | Gallaghers | New York, NY, USA | $$$ · Steakhouse | Reserve a table | Santi | New York, NY, USA | $$$$ · Italian Contemporary | 53 | New York, NY, USA | $$$$ · Asian | Reserve a table | The Modern | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Hyderabadi Zaiqa | New York, NY, USA | $ · Indian | Reserve a table | Caviar Russe | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Benoit | New York, NY, USA | $$$ · French | Reserve a table | YingTao | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Aquavit | New York, NY, USA | $$$$ · Scandinavian | Reserve a table | Four Twenty Five | New York, NY, USA | $$$$ · Contemporary | Chavela’s | Brooklyn, NY, USA | $$ · Mexican | Reserve a table | Roberta's | Brooklyn, NY, USA | $$ · Pizza | Reserve a table | Agi's Counter | Brooklyn, NY, USA | $$ · Creative | Reserve a table | Chola | New York, NY, USA | $$$ · Indian | Reserve a table | Sobre Masa | Brooklyn, NY, USA | $$ · Mexican | Reserve a table | Marea | New York, NY, USA | $$$$ · Seafood | Per Se | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Le Veau d'Or | New York, NY, USA | $$$ · French | Reserve a table | Masa | New York, NY, USA | $$$$ · Japanese | Daphne's | Brooklyn, NY, USA | $$ · Italian-American | Reserve a table | Jean-Georges | New York, NY, USA | $$$$ · Contemporary | Reserve a table | Café Boulud | New York, NY, USA | $$$$ · French | Lungi | New York, NY, USA | $$$ · Sri Lankan",6,ChIJHbRrFLRZwokRyYhsjTDMAUc,Veerays - Curries & Grill,"213 E 45th St, New York, NY 10017, USA",4.4,199.0,,indian_restaurant,40.7525585,-73.97228460000001,http://veerays.com/
Casa Ora,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/casa-ora,"Brooklyn, NY, USA",$$$,Venezuelan,Selected Restaurants,"Reserve a table | Casa Ora | Brooklyn, NY, USA | $$$ · Venezuelan",6,ChIJqRe1FMpbwokRQqWHvCtpSO8,Casa Ora,"148 Meserole St, Brooklyn, NY 11206, USA",4.6,1200.0,PRICE_LEVEL_MODERATE,restaurant,40.7079427,-73.9437667,https://www.casaoranyc.com/
Win Son,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/win-son,"Brooklyn, NY, USA",$$$,Chinese,bib,"Win Son | Brooklyn, NY, USA | $$$ · Chinese",6,ChIJWUWEmp9bwokRD6Q20axkQoc,Win Son Bakery,"164 Graham Ave, Brooklyn, NY 11206, USA",4.5,1486.0,PRICE_LEVEL_MODERATE,bakery,40.707242699999995,-73.94296589999999,http://winsonbrooklyn.com/
Meju,https://guide.michelin.com/us/en/new-york-state/queens/restaurant/meju,"Queens, NY, USA",$$$$,Korean,One Star,"Meju | Queens, NY, USA | $$$$ · Korean",6,ChIJ6alY3R1ZwokRQXUSqpo8OIM,Meju,"5-28 49th Ave, Long Island City, NY 11101, USA",4.7,77.0,,korean_restaurant,40.7435222,-73.9552482,http://mejunyc.com/
Fasano,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/fasano-1210236,"New York, NY, USA",$$$$,Italian,Selected Restaurants,"Reserve a table | Fasano | New York, NY, USA | $$$$ · Italian",6,ChIJQdPMK0JZwokRkq4DcvtSraA,Fasano Restaurant New York,"60 E 49th St, New York, NY 10017, USA",4.6,344.0,PRICE_LEVEL_INEXPENSIVE,restaurant,40.7567686,-73.97552759999999,https://www.fasanorestaurantny.com/
Gui,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gui-1207502,"New York, NY, USA",$$$$,Steakhouse,Selected Restaurants,"Reserve a table | Gui | New York, NY, USA | $$$$ · Steakhouse",6,ChIJp77YbQBZwokRtrv7Pca_IJE,Gui Steakhouse – NYC Times Square,"776 8th Ave, New York, NY 10036, USA",4.5,382.0,,steak_house,40.760578699999996,-73.987102,http://www.guinyc.com/
Kochi,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kochi,"New York, NY, USA",$$$$,Korean,One Star,"Reserve a table | Kochi | New York, NY, USA | $$$$ · Korean",6,ChIJN8SzjFRZwokR-b5lqNXcg44,Kochi - Korean Fine Dining,"652 10th Ave, New York, NY 10036, USA",4.6,979.0,,fine_dining_restaurant,40.7619926,-73.99346919999999,http://kochinyc.com/
Mari,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/mari,"New York, NY, USA",$$$$,Korean,One Star,"Reserve a table | Mari | New York, NY, USA | $$$$ · Korean",6,ChIJk_HUw2dZwokR_zqBwmFDHgo,Mari - Korean Handroll,"679 9th Ave, New York, NY 10036, USA",4.5,474.0,PRICE_LEVEL_VERY_EXPENSIVE,fine_dining_restaurant,40.761534,-73.9906541,https://marinyc.com/
Hart's,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/hart-s,"Brooklyn, NY, USA",$$,Mediterranean Cuisine,Selected Restaurants,"Reserve a table | Hart's | Brooklyn, NY, USA | $$ · Mediterranean Cuisine",6,ChIJhYcE0JlbwokRVjovgUYR65M,Hart's,"506 Franklin Ave, Brooklyn, NY 11238, USA",4.6,415.0,PRICE_LEVEL_EXPENSIVE,mediterranean_restaurant,40.681471599999995,-73.95589269999999,http://www.hartsbrooklyn.com/
Casa Enrique,https://guide.michelin.com/us/en/new-york-state/queens/restaurant/casa-enrique,"Queens, NY, USA",$$,Mexican,Selected Restaurants,"Reserve a table | Casa Enrique | Queens, NY, USA | $$ · Mexican",6,ChIJv4bbdSNZwokRCgKfDGF8az8,Casa Enrique,"5-48 49th Ave, Long Island City, NY 11101, USA",4.5,3007.0,PRICE_LEVEL_MODERATE,mexican_restaurant,40.7434063,-73.95438089999999,https://casaenriquelic.com/
Hupo,https://guide.michelin.com/us/en/new-york-state/queens/restaurant/hupo,"Queens, NY, USA",$$,Chinese,bib,"Hupo | Queens, NY, USA | $$ · Chinese",6,ChIJkzwxb_VZwokRCQbOg1hggOw,HUPO琥珀 | Best Szechuan Food in LIC,"10-07 50th Ave, Long Island City, NY 11101, USA",4.4,554.0,PRICE_LEVEL_MODERATE,chinese_restaurant,40.7427366,-73.953636,https://hupo.nyc/?utm_source=google
Runner Up,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/runner-up,"Brooklyn, NY, USA",$$,American,bib,"Runner Up | Brooklyn, NY, USA | $$ · American",6,ChIJa7TQMZFbwokRjivvo3SFNDQ,Runner Up,"499 11th St, Brooklyn, NY 11215, USA",4.6,107.0,,american_restaurant,40.6656268,-73.98227390000001,https://www.winner.nyc/location/runner-up/
Jupiter,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jupiter,"New York, NY, USA",$$$,Italian,Selected Restaurants,"Reserve a table | Jupiter | New York, NY, USA | $$$ · Italian",6,ChIJyflTcS1ZwokRBWTy8tCgaDM,Jupiter,"Rink Level, 20 W 50th St, New York, NY 10020, USA",4.1,575.0,,restaurant,40.7589067,-73.9787849,https://www.jupiterrestaurant.nyc/
Kung Fu Little Steamed Buns Ramen,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kung-fu-little-steamed-buns-ramen,"New York, NY, USA",$,Chinese,bib,"Kung Fu Little Steamed Buns Ramen | New York, NY, USA | $ · Chinese",6,ChIJC8BYk-RYwokR6opRG65OAUM,Kung Fu Little Steamed Buns Ramen,"146 E 55th St, New York, NY 10022, USA",4.2,790.0,PRICE_LEVEL_INEXPENSIVE,chinese_restaurant,40.759205300000005,-73.9695124,https://kungfutogo.com/
Le Rock,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-rock,"New York, NY, USA",$$$$,Contemporary,Selected Restaurants,"Reserve a table | Le Rock | New York, NY, USA | $$$$ · Contemporary",6,ChIJNbTIf5BZwokRjbkuTrLZVB4,Le Rock,"45 Rockefeller Plaza, New York, NY 10111, USA",4.3,324.0,,restaurant,40.759165599999996,-73.97818889999999,http://lerocknyc.com/
See No Evil Pizza,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/see-no-evil-pizza,"New York, NY, USA",$$,Pizza,Selected Restaurants,"Reserve a table | See No Evil Pizza | New York, NY, USA | $$ · Pizza",6,ChIJH58NSAlZwokR9108aaP8cy8,See No Evil Pizza,"210 W 50th St Concourse #1, New York, NY 10019, USA",4.6,351.0,PRICE_LEVEL_MODERATE,pizza_restaurant,40.7614519,-73.98452309999999,http://seenoevilpizza.com/
R40,https://guide.michelin.com/us/en/new-york-state/queens/restaurant/r40,"Queens, NY, USA",$$$,Argentinian,Selected Restaurants,"Reserve a table | R40 | Queens, NY, USA | $$$ · Argentinian",6,ChIJmfa2wdVZwokRQhZSfY9P4p0,R40,"47-16 Vernon Blvd, Long Island City, NY 11101, USA",4.5,414.0,,argentinian_restaurant,40.7450141,-73.9534908,http://www.r40lic.com/
Don Antonio,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/don-antonio-by-starita,"New York, NY, USA",$$,Pizza,Selected Restaurants,"Don Antonio | New York, NY, USA | $$ · Pizza",6,ChIJ0RWk_A5ZwokR-QEzcuKdpP4,Don Antonio,"Don Antonio's Pizza, 309 W 50th St, New York, NY 10019, USA",4.6,2100.0,PRICE_LEVEL_MODERATE,pizza_restaurant,40.762662899999995,-73.9867256,https://www.donantoniopizza.com/
Le Bernardin,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-bernardin,"New York, NY, USA",$$$$,Seafood,Three Stars,"Reserve a table | Le Bernardin | New York, NY, USA | $$$$ · Seafood",6,ChIJV7QQ6kdZwokRax4615zpSGU,Le Bernardin,"155 W 51st St, New York, NY 10019, USA",4.6,4544.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,40.7614218,-73.9817558,https://www.le-bernardin.com/home
The Grill,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-grill,"New York, NY, USA",$$$$,American,Selected Restaurants,"The Grill | New York, NY, USA | $$$$ · American",6,ChIJ8UxZqPxYwokRQSC7-Qoeea0,THE GRILL,"Seagram Building, 99 E 52nd St, New York, NY 10022, USA",4.6,831.0,PRICE_LEVEL_VERY_EXPENSIVE,fine_dining_restaurant,40.7583177,-73.9718681,https://www.thegrillnewyork.com/?utm_medium=Click&utm_source=GoogleMyBusiness
